race_id,election_date,state_code,office,jurisdiction,endorsed_candidates,non_person_ballot_options,other_candidates,source_reviewed_candidates,unreviewed_candidates,comparison_count,documented_topics,policy_comparison_count,campaign_frame_comparison_count,agenda_comparison_count,unspecified_comparison_count,paired_evidence_types,agreements,differences_and_emphases,study_status,completeness,identity_review_alert,identity_review_notes
race-46de282bd5aa28481623,2018-09-13,NY,Governor,Statewide,Cynthia E. Nixon,,Andrew M. Cuomo,Andrew M. Cuomo | Cynthia E. Nixon,,1,campaign_strategy_and_framing,0,1,0,0,campaign_frame,[],"[{""pair"": ""Cynthia E. Nixon / Andrew M. Cuomo"", ""relationship"": ""different_emphasis"", ""analysis"": ""Nixon emphasizes inequality and a government for the many; Cuomo emphasizes proven delivery and continuing progressive achievements. These are competing campaign narratives, not an independent assessment of either record."", ""comparison_id"": ""ny18-nixon-cuomo-campaign-frame""}]",paired_reviewed_evidence,not_a_complete_platform_census,,
race-472337bed396b2b11f58,2020-01-21,,State Senate,District 60,Sonia Neculescu,,Aaron Neumann | Amal Ibrahim | Aswar Rahman | Jessica Intermill | Mohamed Issa Barre | Piyali Nath Dalal | Saciido Shaie | Susan Whitaker | Sydney Jordan | Zachary Wefel,Aaron Neumann | Jessica Intermill | Saciido Shaie | Sonia Neculescu | Susan Whitaker | Sydney Jordan | Zachary Wefel,Amal Ibrahim | Aswar Rahman | Mohamed Issa Barre | Piyali Nath Dalal,2,tax_budget | transportation,2,0,0,0,policy_position,"[{""pair"": ""Sonia Neculescu / Saciido Shaie"", ""analysis"": ""Neculescu and Shaie both support fare-free public transportation. Their statements do not establish identical funding mechanisms or service plans."", ""comparison_id"": ""parent-e-60a-fare-free-transit""}]","[{""pair"": ""Sonia Neculescu / Jessica Intermill"", ""relationship"": ""different_emphasis"", ""analysis"": ""Neculescu proposes progressive state income taxation and closing loopholes; Intermill proposes restoring lost municipal aid to support housing solutions. These are distinct, potentially complementary fiscal priorities, not opposing positions."", ""comparison_id"": ""cmp-hist-e-001""}]",paired_reviewed_evidence,not_a_complete_platform_census,,
race-48b209f7fa641f4b280d,2026-08-11,WI,Governor,Wisconsin,Francesca Hong,,David Crowley | Joel Brennan | Kelda Roys | Mandela Barnes | Sara Rodriguez,David Crowley | Francesca Hong | Joel Brennan | Kelda Roys | Mandela Barnes | Sara Rodriguez,,30,campaign_strategy_and_framing | education | housing | technology,20,10,0,0,campaign_frame | policy_position,"[{""pair"": ""Francesca Hong / Kelda Roys"", ""analysis"": ""Both explicitly support zoning changes to increase housing supply. Hong also specifies permanent-affordability tools, so this agreement is not a claim of identical full housing platforms."", ""comparison_id"": ""wi26-hong-roys-housing""}, {""pair"": ""Francesca Hong / Sara Rodriguez"", ""analysis"": ""Both support increased state investment and school-funding reform to reduce inequity and reliance on local property-tax increases. Rodriguez does not state Hong's90% special-education target."", ""comparison_id"": ""wi26-hong-rodriguez-schools""}, {""pair"": ""Francesca Hong / Mandela Barnes"", ""analysis"": ""Both affirm cross-party cooperation, citing education and democracy-reform examples respectively. Endorsement is not treated as evidence of refusing compromise."", ""comparison_id"": ""wi26-hong-barnes-bipartisan""}, {""pair"": ""Francesca Hong / Sara Rodriguez"", ""analysis"": ""Both present working across parties positively. Hong cites a coalition on an education measure; Rodriguez emphasizes popular proposals and experience in a competitive district."", ""comparison_id"": ""wi26-hong-rodriguez-bipartisan""}, {""pair"": ""Francesca Hong / Joel Brennan"", ""analysis"": ""Both affirm practical cross-party cooperation. Hong foregrounds a community coalition and an achieved measure; Brennan foregrounds relationships and setting ideology aside."", ""comparison_id"": ""wi26-hong-brennan-bipartisan""}, {""pair"": ""Francesca Hong / David Crowley"", ""analysis"": ""Both cite cooperation with Republicans and describe delivering benefits across party boundaries. These are self-described records rather than independently scored legislative effectiveness."", ""comparison_id"": ""wi26-hong-crowley-bipartisan""}, {""pair"": ""Francesca Hong / Kelda Roys"", ""analysis"": ""Both affirm cross-party cooperation while citing different issue histories. The comparison does not impose an uncompromising-versus-bipartisan stereotype."", ""comparison_id"": ""wi26-hong-roys-bipartisan""}]","[{""pair"": ""Francesca Hong / Mandela Barnes"", ""relationship"": ""different_mechanism"", ""analysis"": ""Hong specifies zoning, accessory dwellings and land trusts; Barnes foregrounds restrictions on concentrated corporate ownership. These can be complementary tools, not opposing affordability goals."", ""comparison_id"": ""wi26-hong-barnes-housing""}, {""pair"": ""Francesca Hong / Sara Rodriguez"", ""relationship"": ""different_mechanism"", ""analysis"": ""Hong names particular supply and permanent-affordability tools; Rodriguez emphasizes coordinating laws, administration and funding through a statewide plan. Neither answer rejects the other's approach."", ""comparison_id"": ""wi26-hong-rodriguez-housing""}, {""pair"": ""Francesca Hong / Joel Brennan"", ""relationship"": ""different_emphasis"", ""analysis"": ""Hong foregrounds specific housing forms and permanent affordability; Brennan foregrounds statewide planning and WHEDA's tools, housing security and ownership equity."", ""comparison_id"": ""wi26-hong-brennan-housing""}, {""pair"": ""Francesca Hong / David Crowley"", ""relationship"": ""different_emphasis"", ""analysis"": ""Both discuss varied housing needs and supply. Hong specifies land trusts, zoning and ADUs; Crowley emphasizes local fit and housing for both subsidy-eligible families and otherwise priced-out buyers."", ""comparison_id"": ""wi26-hong-crowley-housing""}, {""pair"": ""Francesca Hong / Mandela Barnes"", ""relationship"": ""different_mechanism"", ""analysis"": ""Hong objects to subsidies and ratepayer cost shifts; Barnes specifies community-benefit agreements, local hiring, rate protections and community consent. This source does not establish that Barnes favors the subsidies Hong rejects."", ""comparison_id"": ""wi26-hong-barnes-data""}, {""pair"": ""Francesca Hong / Sara Rodriguez"", ""relationship"": ""different_mechanism"", ""analysis"": ""Hong foregrounds avoiding corporate subsidies and public burdens; Rodriguez specifies contractual energy-cost responsibility, renewables and local acceptance. Both raise protection concerns."", ""comparison_id"": ""wi26-hong-rodriguez-data""}, {""pair"": ""Francesca Hong / Joel Brennan"", ""relationship"": ""different_emphasis"", ""analysis"": ""Hong emphasizes subsidies, rates and environmental concerns; Brennan emphasizes transparency, accountability and avoiding taxpayer cost shifts. These are not inherently opposing positions."", ""comparison_id"": ""wi26-hong-brennan-data""}, {""pair"": ""Francesca Hong / David Crowley"", ""relationship"": ""different_emphasis"", ""analysis"": ""Hong foregrounds risks and subsidy objections; Crowley foregrounds conditional benefits for industry, schools, broadband and entrepreneurs. Crowley's protections are preserved, and Hong is not assigned a moratorium commitment solely from this excerpt."", ""comparison_id"": ""wi26-hong-crowley-data""}, {""pair"": ""Francesca Hong / Kelda Roys"", ""relationship"": ""different_mechanism"", ""analysis"": ""Hong emphasizes subsidy and cost-shift opposition; Roys specifies statewide strategy and transparency around local negotiations and environmental effects. Neither proposal implies rejection of the other's protections."", ""comparison_id"": ""wi26-hong-roys-data""}, {""pair"": ""Francesca Hong / Mandela Barnes"", ""relationship"": ""different_emphasis"", ""analysis"": ""Hong specifies reimbursement and general-aid changes; Barnes emphasizes whole-child needs such as housing, food and healthcare. These proposals can reinforce one another."", ""comparison_id"": ""wi26-hong-barnes-schools""}, {""pair"": ""Francesca Hong / Joel Brennan"", ""relationship"": ""different_emphasis"", ""analysis"": ""Both favor more investment and formula change; Hong states a precise special-education reimbursement proposal while Brennan stresses replacing an outdated funding structure."", ""comparison_id"": ""wi26-hong-brennan-schools""}, {""pair"": ""Francesca Hong / David Crowley"", ""relationship"": ""different_mechanism"", ""analysis"": ""Hong proposes specified school-aid changes; Crowley proposes a tax-and-spending commission. A commission is not evidence that Crowley rejects more school funding."", ""comparison_id"": ""wi26-hong-crowley-schools""}, {""pair"": ""Francesca Hong / Kelda Roys"", ""relationship"": ""different_emphasis"", ""analysis"": ""Hong foregrounds formula equity, special education and general aids; Roys foregrounds investment alongside teacher development and retention."", ""comparison_id"": ""wi26-hong-roys-schools""}, {""pair"": ""Francesca Hong / Mandela Barnes"", ""relationship"": ""different_emphasis"", ""analysis"": ""Hong sharply criticizes the program and calls for scrutiny; Barnes foregrounds equivalent rules and public accountability. Neither answer establishes a specific abolition schedule."", ""comparison_id"": ""wi26-hong-barnes-vouchers""}, {""pair"": ""Francesca Hong / Sara Rodriguez"", ""relationship"": ""different_strategy"", ""analysis"": ""Hong emphasizes critical review of the program; Rodriguez specifies restoring its low-income focus and resisting a separately funded parallel system. The comparison preserves what is and is not explicitly promised."", ""comparison_id"": ""wi26-hong-rodriguez-vouchers""}, {""pair"": ""Francesca Hong / Joel Brennan"", ""relationship"": ""different_strategy"", ""analysis"": ""Hong questions the program's legitimacy and transparency; Brennan opposes dramatic expansion while emphasizing accountability and difficulties in unwinding it. Hong is not given an unspoken immediate-abolition pledge."", ""comparison_id"": ""wi26-hong-brennan-vouchers""}, {""pair"": ""Francesca Hong / David Crowley"", ""relationship"": ""different_strategy"", ""analysis"": ""Hong foregrounds the public-money/accountability critique; Crowley specifies public-school capacity and funding as prerequisites to removal, alongside equal standards."", ""comparison_id"": ""wi26-hong-crowley-vouchers""}, {""pair"": ""Francesca Hong / Kelda Roys"", ""relationship"": ""different_scope"", ""analysis"": ""Roys explicitly calls for responsible closure. Hong's selected answer calls for scrutiny and criticizes the program but does not specify closure. The other Democrat makes the more explicit closure commitment in this particular source; missing words are not coded as Hong opposing closure."", ""comparison_id"": ""wi26-hong-roys-vouchers""}, {""pair"": ""Francesca Hong / Mandela Barnes"", ""relationship"": ""different_emphasis"", ""analysis"": ""Hong's first-bill answer begins with gun safety and children-focused policies; Barnes explicitly prioritizes BadgerCare expansion and makes it a budget-signing condition."", ""comparison_id"": ""wi26-hong-barnes-priorities""}, {""pair"": ""Francesca Hong / Sara Rodriguez"", ""relationship"": ""different_emphasis"", ""analysis"": ""Hong begins with gun safety, education and universal childcare; Rodriguez begins with healthcare costs and childcare as infrastructure. This records stated priorities, not measured campaign airtime."", ""comparison_id"": ""wi26-hong-rodriguez-priorities""}, {""pair"": ""Francesca Hong / Joel Brennan"", ""relationship"": ""different_emphasis"", ""analysis"": ""Hong foregrounds children and gun safety; Brennan foregrounds affordability through housing and Medicaid expansion. Both can support policies not named in this short answer."", ""comparison_id"": ""wi26-hong-brennan-priorities""}, {""pair"": ""Francesca Hong / David Crowley"", ""relationship"": ""different_emphasis"", ""analysis"": ""Hong names gun safety, public education and universal childcare; Crowley names housing, schools and jobs. Shared education attention is preserved rather than coding wholly different agendas."", ""comparison_id"": ""wi26-hong-crowley-priorities""}, {""pair"": ""Francesca Hong / Kelda Roys"", ""relationship"": ""different_emphasis"", ""analysis"": ""Hong foregrounds child-focused measures; Roys describes a wages/rights/affordability budget and state health-insurance and pension buy-in. This does not infer opposition to unmentioned proposals."", ""comparison_id"": ""wi26-hong-roys-priorities""}]",paired_reviewed_evidence,not_a_complete_platform_census,,
race-4999db34a0dac2410460,2026-03-17,IL,State Senate,District 24,"Benjamin ""Ben"" McAdams",,,"Benjamin ""Ben"" McAdams",,0,,0,0,0,0,none,[],[],standalone_reviewed_evidence,not_a_complete_platform_census,,
race-4a19411701e40165da88,2022-09-06,MA,State Representative,4th Barnstable District,Jack Stanton,,Sarah K. Peake,Jack Stanton | Sarah K. Peake,,1,campaign_strategy_and_framing,0,1,0,0,campaign_frame,[],"[{""pair"": ""Jack Stanton / Sarah K. Peake"", ""relationship"": ""different_emphasis"", ""analysis"": ""Stanton emphasizes using a Democratic supermajority to deliver promised changes; Peake emphasizes working through institutions and legislative details. This is a campaign-strategy comparison, not a complete same-policy platform contrast."", ""comparison_id"": ""ma22-stanton-peake-governing""}]",paired_reviewed_evidence,not_a_complete_platform_census,,
race-4a705a0766bb6d4c5478,2021-06-22,NY,City Council,Newburgh Ward 1,Giselle Martinez,,Sonya D. Grant,,Giselle Martinez | Sonya D. Grant,0,,0,0,0,0,none,[],[],not_source_reviewed,not_a_complete_platform_census,,
race-4ab4dfc62a70075bfc27,2025-06-24,NY,County Legislature,District 8 (Onondaga County),Tammy M. Honeywell,,Chad Ryan,,Chad Ryan | Tammy M. Honeywell,0,,0,0,0,0,none,[],[],not_source_reviewed,not_a_complete_platform_census,,
race-4add975df09b0b0aaa6d,2022-08-02,MO,US House,Missouri District 1,Cori Bush,,Earl Childress | Michael Daniels | Ron Harshaw | Steve Roberts,Cori Bush | Steve Roberts,Earl Childress | Michael Daniels | Ron Harshaw,1,campaign_strategy_and_framing,0,1,0,0,campaign_frame,[],"[{""pair"": ""Cori Bush / Steve Roberts"", ""relationship"": ""different_strategy"", ""analysis"": ""Bush explicitly presents direct action as part of congressional work, citing the eviction moratorium. Roberts says the legislator's work should happen inside the Capitol rather than on the streets, while acknowledging shared issue concerns. This is a source-backed difference in political strategy, not proof that their entire platforms are opposites."", ""comparison_id"": ""mo22-bush-roberts-activism""}]",paired_reviewed_evidence,not_a_complete_platform_census,,
race-4afc66bae06154e36ec3,2022-06-28,IL,US House,District 10,Adam Broad,,Brad Schneider,,Adam Broad | Brad Schneider,0,,0,0,0,0,none,[],[],not_source_reviewed,not_a_complete_platform_census,election_cycle_confirmation_required,"The registry places Adam Broad against Brad Schneider in2022, but the retained official FEC returns identify Broad's115 Democratic write-in votes in2020. The2022 IL10 Democratic return lists Schneider and no Broad entry. This does not prove that Broad never announced a2022 campaign, and no2020 endorsement is inferred. Do not attach2020 policy statements to the2022 record or call its candidate field certified until the cycle-specific candidacy and endorsement are resolved."
race-4bb8173fd4fdca0b2d3f,2024-08-06,MO,US House,District 1,Cori Bush,,Maria Chappelle-Nadal | Wesley Bell,Cori Bush | Maria Chappelle-Nadal | Wesley Bell,,3,campaign_strategy_and_framing | justice_and_public_safety,1,2,0,0,campaign_frame | policy_position,[],"[{""pair"": ""Cori Bush / Wesley Bell"", ""relationship"": ""different_strategy"", ""analysis"": ""Bush specifies moving militarized-equipment spending into social services; Bell describes court diversion backed by federal support. These are different, potentially complementary approaches—not evidence that either rejects the other's mechanism."", ""comparison_id"": ""mo24-bush-bell-public-safety""}, {""pair"": ""Cori Bush / Wesley Bell"", ""relationship"": ""different_emphasis"", ""analysis"": ""Bush points to wins despite legislative tensions; Bell emphasizes coalition-building across party lines. Both claim an effective route to results."", ""comparison_id"": ""mo24-bush-bell-legislative-frame""}, {""pair"": ""Cori Bush / Maria Chappelle-Nadal"", ""relationship"": ""different_emphasis"", ""analysis"": ""Bush emphasizes achieved wins; Chappelle-Nadal emphasizes vote-counting and policy expertise. These are campaign arguments, not independent effectiveness measurements."", ""comparison_id"": ""mo24-bush-chappelle-legislative-frame""}]",paired_reviewed_evidence,not_a_complete_platform_census,,
race-4ccedc03fd0aec1094b0,2020-06-23,NY,US House,District 16,Jamaal Bowman,,Andom Ghebreghiorgis | Chris Fink | Eliot L. Engel | Sammy Ravelo,Andom Ghebreghiorgis | Chris Fink | Eliot L. Engel | Jamaal Bowman | Sammy Ravelo,,13,campaign_strategy_and_framing | climate_environment | healthcare,6,7,0,0,campaign_frame | policy_position,"[{""pair"": ""Jamaal Bowman / Eliot L. Engel"", ""analysis"": ""Both explicitly support Medicare for All in their own pre-primary answers. Engel also describes ACA and Medicare expansion; that does not erase his stated Medicare-for-All support or prove identical implementation plans."", ""comparison_id"": ""ny16-bowman-engel-health""}, {""pair"": ""Jamaal Bowman / Eliot L. Engel"", ""analysis"": ""Both explicitly support a Green New Deal. The challenger/incumbent conflict is not evidence of opposing positions on that named proposal."", ""comparison_id"": ""ny16-bowman-engel-climate""}, {""pair"": ""Jamaal Bowman / Chris Fink"", ""analysis"": ""Both support a Green New Deal. Bowman connects it to racial equity, union jobs and education; Fink emphasizes implementation and project-financing experience."", ""comparison_id"": ""ny16-bowman-fink-climate""}, {""pair"": ""Jamaal Bowman / Andom Ghebreghiorgis"", ""analysis"": ""Bowman and Ghebreghiorgis both explicitly support Medicare for All. Ghebreghiorgis's original response fills the previously missing fifth candidate voice in the recorded field; it is not evidence of identical implementation plans."", ""comparison_id"": ""ny20-bowman-andom-health""}, {""pair"": ""Jamaal Bowman / Andom Ghebreghiorgis"", ""analysis"": ""Both support a Green New Deal and discuss international dimensions. This agreement does not make every element of their foreign or industrial policy identical."", ""comparison_id"": ""ny20-bowman-andom-climate""}]","[{""pair"": ""Jamaal Bowman / Sammy Ravelo"", ""relationship"": ""different_strategy"", ""analysis"": ""Bowman specifies Medicare for All; Ravelo proposes universal access by improving the ACA. These are different stated reform approaches, without inventing an explicit Ravelo rejection of single payer."", ""comparison_id"": ""ny16-bowman-ravelo-health""}, {""pair"": ""Jamaal Bowman / Eliot L. Engel"", ""relationship"": ""different_emphasis"", ""analysis"": ""Bowman organizes his answer around racial and economic inequality and a Reconstruction Agenda; Engel names opposing Trump and defending rights as the immediate priority. Their healthcare and climate commitments nevertheless overlap."", ""comparison_id"": ""ny16-bowman-engel-priorities""}, {""pair"": ""Jamaal Bowman / Chris Fink"", ""relationship"": ""different_emphasis"", ""analysis"": ""Bowman names inequality; Fink names climate. Both also support climate investment, so different lead messages are not opposing policy goals."", ""comparison_id"": ""ny16-bowman-fink-priorities""}, {""pair"": ""Jamaal Bowman / Sammy Ravelo"", ""relationship"": ""different_emphasis"", ""analysis"": ""Bowman emphasizes structural racial and economic inequality; Ravelo emphasizes pandemic job losses and infrastructure employment. Their chosen answers to the same question differ, without measuring whole-campaign message frequency."", ""comparison_id"": ""ny16-bowman-ravelo-priorities""}, {""pair"": ""Jamaal Bowman / Eliot L. Engel"", ""relationship"": ""different_strategy"", ""analysis"": ""Bowman proposes linking congressional power to organized communities and outside movements; Engel emphasizes seniority and relationships within Democratic leadership to deliver resources."", ""comparison_id"": ""ny16-bowman-engel-strategy""}, {""pair"": ""Jamaal Bowman / Chris Fink"", ""relationship"": ""different_emphasis"", ""analysis"": ""Bowman emphasizes inside-outside movement organization; Fink emphasizes project-finance and implementation expertise. Neither claim independently establishes effectiveness."", ""comparison_id"": ""ny16-bowman-fink-strategy""}, {""pair"": ""Jamaal Bowman / Sammy Ravelo"", ""relationship"": ""different_emphasis"", ""analysis"": ""Bowman emphasizes community movement power and a congressional public platform; Ravelo gives a regular district-presence and town-hall commitment. These methods can coexist."", ""comparison_id"": ""ny16-bowman-ravelo-strategy""}, {""pair"": ""Jamaal Bowman / Andom Ghebreghiorgis"", ""relationship"": ""different_emphasis"", ""analysis"": ""Bowman emphasizes inside-outside movement power; Ghebreghiorgis emphasizes collaborative interventions informed by special-education work. Both present organizing and community partnership as resources for governing."", ""comparison_id"": ""ny20-bowman-andom-strategy""}]",paired_reviewed_evidence,not_a_complete_platform_census,,
race-4d9e32ed7f0d618a96ce,2026-06-23,NY,US House,District 14,Alexandria Ocasio-Cortez,,Felipe Garcia | Marty Dolan,Alexandria Ocasio-Cortez | Felipe Garcia | Marty Dolan,,2,housing | immigration,2,0,0,0,policy_position,[],"[{""pair"": ""Alexandria Ocasio-Cortez / Marty Dolan"", ""relationship"": ""different_emphasis"", ""analysis"": ""Ocasio-Cortez emphasizes legal membership for undocumented residents and abolishing ICE. Dolan emphasizes prioritizing federal resources for Americans and says resources have been diverted to people from other countries. The retained excerpt does not establish that Dolan explicitly rejects legalization or ICE abolition, so no direct support-versus-opposition relationship is inferred."", ""comparison_id"": ""cmp-ny14-immigration""}, {""pair"": ""Alexandria Ocasio-Cortez / Felipe Garcia"", ""relationship"": ""different_strategy"", ""analysis"": ""Both excerpts support expanding affordable housing supply through different strategies. Ocasio-Cortez specifies Faircloth Amendment repeal; Garcia emphasizes mixed-income investment, zoning streamlining, and tenant protections. This pair is timing-unverified because the NYC Votes publication time and pre-primary text version are unverified."", ""comparison_id"": ""cmp-ny14-housing-strategy""}]",paired_reviewed_evidence,not_a_complete_platform_census,,
race-4e46c62a2ddca032101d,2019-03-05,MO,President of the Board of Aldermen,City of St. Louis,Megan Ellyia Green,,Jamilah Nasheed | Jimmie Matthews | Lewis Reed,,Jamilah Nasheed | Jimmie Matthews | Lewis Reed | Megan Ellyia Green,0,,0,0,0,0,none,[],[],not_source_reviewed,not_a_complete_platform_census,,
race-4e8a0f4bc251df040d09,2018-06-05,MT,State House,District 50,Jade Bahr,,Joshua Bradshaw,,Jade Bahr | Joshua Bradshaw,0,,0,0,0,0,none,[],[],not_source_reviewed,not_a_complete_platform_census,,
race-50548ada602a94d636d7,2018-06-26,MD,House of Delegates,District 39,Gabriel Acevero,,Andy Hoverman | Bobby Bartlett | Clint Sobratti | Kirill Reznik | Lesley J. Lopez | Shane Robinson,Andy Hoverman | Bobby Bartlett | Gabriel Acevero | Kirill Reznik | Lesley J. Lopez | Shane Robinson,Clint Sobratti,3,transportation,3,0,0,0,policy_position,"[{""pair"": ""Gabriel Acevero / Andy Hoverman"", ""analysis"": ""Both support Bus Rapid Transit as part of the response to congestion and transportation needs."", ""comparison_id"": ""cmp-hb02-acevero-hoverman-brt""}]","[{""pair"": ""Gabriel Acevero / Bobby Bartlett"", ""relationship"": ""different_strategy"", ""analysis"": ""Both prioritize transit investment, but Acevero names Bus Rapid Transit while Bartlett emphasizes expanded all-day MARC service. This is not a disagreement over either mechanism."", ""comparison_id"": ""cmp-hb02-acevero-bartlett-transit""}, {""pair"": ""Gabriel Acevero / Lesley J. Lopez"", ""relationship"": ""different_emphasis"", ""analysis"": ""Acevero specifies Bus Rapid Transit and its congestion/environment benefits; Lopez states a broader commitment to long-term transit fixes balanced with environmental concerns. Lopez’s retained answer does not establish opposition to BRT."", ""comparison_id"": ""cmp-hbr-md39-acevero-lopez-transit""}]",paired_reviewed_evidence,not_a_complete_platform_census,,
race-5096e76dd885c0d5395c,2020-11-03,GA,State Senate,District 39,Zan Fort,,Jo Anna Potts | Linda Pritchett | Sonya Halpern,,Jo Anna Potts | Linda Pritchett | Sonya Halpern | Zan Fort,0,,0,0,0,0,none,[],[],not_source_reviewed,not_a_complete_platform_census,,
race-53f4a0c7a1770190ca18,2020-09-15,DE,US Senate,Delaware,Jessica Scarane,,Christopher A. Coons,Christopher A. Coons | Jessica Scarane,,1,healthcare,1,0,0,0,policy_position,[],"[{""pair"": ""Jessica Scarane / Christopher A. Coons"", ""relationship"": ""different_emphasis"", ""analysis"": ""Scarane explicitly calls for single-payer; Coons's retained campaign page emphasizes ACA expansion and defending existing benefits. This is a difference in the stated proposals, not proof that Coons opposes every single-payer design."", ""comparison_id"": ""de20-scarane-coons-healthcare""}]",paired_reviewed_evidence,not_a_complete_platform_census,,
race-545d24c0467c329fe6e1,2020-06-23,KY,City Council,Louisville Metro Council District 10,Ryan Fenwick,,Pat Mulvihill,Pat Mulvihill | Ryan Fenwick,,4,economic_development | housing | justice_and_public_safety,4,0,0,0,policy_position,"[{""pair"": ""Ryan Fenwick / Pat Mulvihill"", ""analysis"": ""Both support practical zoning/use flexibility to help businesses operate during the pandemic, rather than opposite positions inferred from endorsement labels."", ""comparison_id"": ""ky20-fenwick-mulvihill-waivers""}, {""pair"": ""Ryan Fenwick / Pat Mulvihill"", ""analysis"": ""Both support civilian police review. Fenwick explicitly calls for disciplinary authority; Mulvihill discusses a review panel and state-granted subpoena power. The shared goal does not establish identical institutional powers."", ""comparison_id"": ""ky20-fenwick-mulvihill-oversight""}]","[{""pair"": ""Ryan Fenwick / Pat Mulvihill"", ""relationship"": ""different_strategy"", ""analysis"": ""Fenwick foregrounds changing the policing/incarceration spending emphasis toward prevention; Mulvihill foregrounds warrant restrictions, auditing, training and oversight. A categorical Mulvihill opposition to prevention or a precise budget difference is not invented."", ""comparison_id"": ""ky20-fenwick-mulvihill-safety""}, {""pair"": ""Ryan Fenwick / Pat Mulvihill"", ""relationship"": ""different_emphasis"", ""analysis"": ""Fenwick stresses anti-displacement investment and implementing neighborhood plans; Mulvihill stresses business-corridor renewal, aging-in-place housing and connectivity. Both discuss neighborhood quality of life with different priorities."", ""comparison_id"": ""ky20-fenwick-mulvihill-development""}]",paired_reviewed_evidence,not_a_complete_platform_census,,
race-54b552116a27a8f0ef97,2026-09-01,MA,State Representative,12th Hampden,Michael Lachenmeyer,,"Angelo J. Puppolo, Jr.","Angelo J. Puppolo, Jr. | Michael Lachenmeyer",,1,campaign_strategy_and_framing,0,1,0,0,campaign_frame,[],"[{""pair"": ""Michael Lachenmeyer / Angelo J. Puppolo, Jr."", ""relationship"": ""different_emphasis"", ""analysis"": ""Lachenmeyer highlights the incumbent's long tenure as a reason for change; Puppolo invokes experienced and committed leadership as a reason to retain him. This is a direct contrast in campaign self-presentation, not an inferred policy disagreement."", ""comparison_id"": ""frontier-lachenmeyer-puppolo-experience""}]",paired_reviewed_evidence,not_a_complete_platform_census,,
race-55403cc726be644d5b3b,2020-06-23,NY,State Assembly,District 51,Marcela Mitaynes,,Felix W. Ortiz | Genesis E. Aquino | Katherine P. Walsh,Katherine P. Walsh | Marcela Mitaynes,Felix W. Ortiz | Genesis E. Aquino,2,education | healthcare,2,0,0,0,policy_position,"[{""pair"": ""Marcela Mitaynes / Katherine P. Walsh"", ""analysis"": ""Both support a publicly funded single-payer health-care system. Walsh explicitly names the New York Health Act; Mitaynes does not name the Act in the retained answer, so the shared claim is single-payer rather than support for that specific bill."", ""comparison_id"": ""cmp-joldc-mitaynes-walsh-single-payer""}, {""pair"": ""Marcela Mitaynes / Katherine P. Walsh"", ""analysis"": ""Both support funding CUNY and SUNY. Mitaynes explicitly connects full funding to free public college for all residents; Walsh also discusses K12 fiscal equity. The shared funding commitment does not establish identical tuition or eligibility rules."", ""comparison_id"": ""cmp-hist-e-002""}]",[],paired_reviewed_evidence,not_a_complete_platform_census,,
race-558960c0224035d1fd83,2022-08-23,NY,State Senate,District 25,Jabari Brisport,,Conrad B. Tillard | Renee Holmes,Jabari Brisport,Conrad B. Tillard | Renee Holmes,0,,0,0,0,0,none,[],[],standalone_reviewed_evidence,not_a_complete_platform_census,,
race-5650629789d1169ab061,2024-06-25,NY,US House,District 16,Jamaal Bowman,,George S. Latimer,George S. Latimer | Jamaal Bowman,,3,campaign_strategy_and_framing | climate_environment | healthcare,2,1,0,0,campaign_frame | policy_position,"[{""pair"": ""Jamaal Bowman / George S. Latimer"", ""analysis"": ""Both support a Green New Deal approach. Bowman names school and housing legislation; Latimer states broader climate and investment commitments."", ""comparison_id"": ""fed24-bowman-latimer-climate""}]","[{""pair"": ""Jamaal Bowman / George S. Latimer"", ""relationship"": ""different_emphasis"", ""analysis"": ""Bowman's campaign emphasizes challenging the status quo; Latimer emphasizes governing experience and progressive results. These are their stated campaign frames, not verified measures of effectiveness."", ""comparison_id"": ""fed24-bowman-latimer-framing""}, {""pair"": ""Jamaal Bowman / George S. Latimer"", ""relationship"": ""different_emphasis"", ""analysis"": ""Bowman explicitly supports Medicare for All; Latimer's retained platform emphasizes protecting and expanding existing benefits. The latter does not prove opposition to single-payer."", ""comparison_id"": ""fed24-bowman-latimer-health""}]",paired_reviewed_evidence,not_a_complete_platform_census,,
race-56a9ee9cf010f2c3e726,2018-08-28,AZ,State House,District 18,LaDawn Stuben,,"Denise ""Mitzi"" Epstein | Jennifer Jermaine",,"Denise ""Mitzi"" Epstein | Jennifer Jermaine | LaDawn Stuben",0,,0,0,0,0,none,[],[],not_source_reviewed,not_a_complete_platform_census,,
race-58bd65d4bf27835baac1,2020-03-17,IL,US House,District 11,Rachel Ventura,,Bill Foster,Bill Foster | Rachel Ventura,,1,healthcare,1,0,0,0,policy_position,[],"[{""pair"": ""Rachel Ventura / Bill Foster"", ""relationship"": ""different_strategy"", ""analysis"": ""Ventura proposes Medicare for All; Foster proposes an ACA-based public option and other coverage expansions. Both seek broader access, and Foster's retained answer is not treated as a blanket rejection of every single-payer plan."", ""comparison_id"": ""il20-ventura-foster-healthcare""}]",paired_reviewed_evidence,not_a_complete_platform_census,,
race-591cacda9a0457d12b44,2018-09-13,NY,State Senate,District 18,Julia Salazar,,Martin Malavé Dilan,,Julia Salazar | Martin Malavé Dilan,0,,0,0,0,0,none,[],[],not_source_reviewed,not_a_complete_platform_census,,
